City,variable,time,value
Montreal,Annual Mean Temperature,2018,6.895833492
San Marino,Annual Mean Temperature,2018,13.07916641
Minsk,Annual Mean Temperature,2018,6.329166889
Athens,Annual Mean Temperature,2018,17.86666679
Minneapolis,Annual Mean Temperature,2018,7.591666698
Ottawa,Annual Mean Temperature,2018,6.479166508
Vaduz,Annual Mean Temperature,2018,9.516666412
Columbus,Annual Mean Temperature,2018,10.98750019
Zurich,Annual Mean Temperature,2018,9.716666222
Bursa,Annual Mean Temperature,2018,14.16250038
Oslo,Annual Mean Temperature,2018,6.616666794
Chisinau,Annual Mean Temperature,2018,10.17083359
Indianapolis,Annual Mean Temperature,2018,11.09166622
Sacramento,Annual Mean Temperature,2018,16.59166718
Pittsburgh,Annual Mean Temperature,2018,10.8791666
Amman,Annual Mean Temperature,2018,16.86666679
St. Louis,Annual Mean Temperature,2018,12.77083302
Rome,Annual Mean Temperature,2018,15.59166622
Moscow,Annual Mean Temperature,2018,5.379166603
Aguascalientes,Annual Mean Temperature,2018,17.69583321
Cincinnati,Annual Mean Temperature,2018,11.82083321
Salt Lake City,Annual Mean Temperature,2018,11.40833282
Cleveland,Annual Mean Temperature,2018,10.4333334
Hamburg,Annual Mean Temperature,2018,9.604166985
Detroit,Annual Mean Temperature,2018,9.925000191
Baltimore,Annual Mean Temperature,2018,13.08333302
Buffalo,Annual Mean Temperature,2018,8.795833588
Vatican City,Annual Mean Temperature,2018,15.44583321
Djibouti,Annual Mean Temperature,2018,29.58749962
Dushanbe,Annual Mean Temperature,2018,15.17500019
Mariehamn,Annual Mean Temperature,2018,5.916666508
Brussels,Annual Mean Temperature,2018,10.77499962
Marseille,Annual Mean Temperature,2018,15.14583302
Louisville,Annual Mean Temperature,2018,13.29166698
San Luis Potosi,Annual Mean Temperature,2018,17.88333321
Naypyidaw,Annual Mean Temperature,2018,26.63333321
Helsinki,Annual Mean Temperature,2018,5.404166698
Chongqing,Annual Mean Temperature,2018,18.22500038
Tallinn,Annual Mean Temperature,2018,5.904166698
Urumqi,Annual Mean Temperature,2018,7.370833397
Baku,Annual Mean Temperature,2018,14.17916679
Aleppo,Annual Mean Temperature,2018,17.6875
Kobenhavn,Annual Mean Temperature,2018,8.841667175
Pune,Annual Mean Temperature,2018,24.78750038
Izmir,Annual Mean Temperature,2018,17.66250038
San Salvador,Annual Mean Temperature,2018,23.30416679
Bern,Annual Mean Temperature,2018,9
Nagpur,Annual Mean Temperature,2018,27.07083321
Riga,Annual Mean Temperature,2018,6.779166698
Lille,Annual Mean Temperature,2018,10.6833334
Sukhumi,Annual Mean Temperature,2018,13.73750019
Nashville,Annual Mean Temperature,2018,14.58749962
Ilorin,Annual Mean Temperature,2018,26.54166603
Riyadh,Annual Mean Temperature,2018,26.41666603
Guadalajara,Annual Mean Temperature,2018,21.31666756
Leeds,Annual Mean Temperature,2018,9.300000191
Ramallah,Annual Mean Temperature,2018,16.21666718
Munich,Annual Mean Temperature,2018,9.604166985
Cuiaba,Annual Mean Temperature,2018,25.29999924
Kansas City,Annual Mean Temperature,2018,12.7458334
Xian,Annual Mean Temperature,2018,13.97500038
Memphis,Annual Mean Temperature,2018,16.20833397
Chicago,Annual Mean Temperature,2018,10.1916666
Nairobi,Annual Mean Temperature,2018,18.61666679
Ahvaz,Annual Mean Temperature,2018,25.57500076
Adelaide,Annual Mean Temperature,2018,16.29166603
Perth,Annual Mean Temperature,2018,18.47916603
Baghdad,Annual Mean Temperature,2018,23.39166641
Cardiff,Annual Mean Temperature,2018,10.47916698
Philadelphia,Annual Mean Temperature,2018,12.1875
Adana,Annual Mean Temperature,2018,18.98749924
Queretaro,Annual Mean Temperature,2018,18.02499962
Wellington,Annual Mean Temperature,2018,13.15833378
Birmingham,Annual Mean Temperature,2018,9.762499809
Belem,Annual Mean Temperature,2018,26.61666679
Edinburgh,Annual Mean Temperature,2018,8.766666412
Bir Lehlou,Annual Mean Temperature,2018,23.45833397
Kigali,Annual Mean Temperature,2018,20.19583321
Hartford,Annual Mean Temperature,2018,10.36666679
Milwaukee,Annual Mean Temperature,2018,8.774999619
"Washington, D.C.",Annual Mean Temperature,2018,13.3708334
Mexico City,Annual Mean Temperature,2018,17.02083397
Kermanshah,Annual Mean Temperature,2018,15.125
Jaipur,Annual Mean Temperature,2018,25.17083359
Tabriz,Annual Mean Temperature,2018,12.3791666
Samara,Annual Mean Temperature,2018,5.199999809
San Bernardino,Annual Mean Temperature,2018,18.64999962
Mandalay,Annual Mean Temperature,2018,27.45833397
Leon,Annual Mean Temperature,2018,19.04166603
Canberra,Annual Mean Temperature,2018,13.39999962
Tunis,Annual Mean Temperature,2018,18.77916718
Torreon,Annual Mean Temperature,2018,21.67916679
New York,Annual Mean Temperature,2018,12.02083302
Hyderabad,Annual Mean Temperature,2018,26.95833397
Hyderabad,Annual Mean Temperature,2018,26.95833397
Las Vegas,Annual Mean Temperature,2018,19.25416756
Indore,Annual Mean Temperature,2018,25.26666641
Manaus,Annual Mean Temperature,2018,26.99583244
Semarang,Annual Mean Temperature,2018,27.61666679
Nanchong,Annual Mean Temperature,2018,17.53333282
Asuncion,Annual Mean Temperature,2018,22.66250038
Denver,Annual Mean Temperature,2018,10.77499962
Juba,Annual Mean Temperature,2018,27.47083282
Bangui,Annual Mean Temperature,2018,25.97916603
Manila,Annual Mean Temperature,2018,27.39999962
Lanzhou,Annual Mean Temperature,2018,9.441666603
Niamey,Annual Mean Temperature,2018,29.56666565
Lubumbashi,Annual Mean Temperature,2018,21.14583397
Austin,Annual Mean Temperature,2018,20.07083321
Dallas,Annual Mean Temperature,2018,18.86249924
Calgary,Annual Mean Temperature,2018,4.133333206
Puebla,Annual Mean Temperature,2018,17.17916679
Melbourne,Annual Mean Temperature,2018,15.35833359
Ashgabat,Annual Mean Temperature,2018,16.72500038
Ogbomosho,Annual Mean Temperature,2018,26.15416718
Bishkek,Annual Mean Temperature,2018,11.29166698
Gujranwala,Annual Mean Temperature,2018,23.34583282
Quito,Annual Mean Temperature,2018,13.61666679
Taiyuan,Annual Mean Temperature,2018,10.25833321
Ahmedabad,Annual Mean Temperature,2018,27.39999962
Patna,Annual Mean Temperature,2018,25.86666679
Kano,Annual Mean Temperature,2018,26.80000114
Tel Aviv-Yafo,Annual Mean Temperature,2018,19.97916603
Beirut,Annual Mean Temperature,2018,19.92499924
Lusaka,Annual Mean Temperature,2018,20.50833321
Ndjamena,Annual Mean Temperature,2018,28.4375
Guatemala,Annual Mean Temperature,2018,20.02083397
Brazzaville,Annual Mean Temperature,2018,25.36666679
Ho Chi Minh City,Annual Mean Temperature,2018,27.50416565
Surat,Annual Mean Temperature,2018,27.32916641
Al Hudaydah,Annual Mean Temperature,2018,29.64166641
Bangalore,Annual Mean Temperature,2018,24.25416756
Kaduna,Annual Mean Temperature,2018,25.77499962
Kabul,Annual Mean Temperature,2018,12.58749962
Zaria,Annual Mean Temperature,2018,25.27083397
Bamako,Annual Mean Temperature,2018,28.125
Rotterdam,Annual Mean Temperature,2018,10.21666622
Valletta,Annual Mean Temperature,2018,19.08749962
San Antonio,Annual Mean Temperature,2018,20.58749962
Bujumbura,Annual Mean Temperature,2018,24.45000076
Maracay,Annual Mean Temperature,2018,24.88333321
Mashhad,Annual Mean Temperature,2018,14.08333302
Kanpur,Annual Mean Temperature,2018,25.93333435
Tirana,Annual Mean Temperature,2018,15.47916698
Belfast,Annual Mean Temperature,2018,9.533333778
New Delhi,Annual Mean Temperature,2018,25.02916718
Abidjan,Annual Mean Temperature,2018,26.46249962
Tegucigalpa,Annual Mean Temperature,2018,21.49583244
Doha,Annual Mean Temperature,2018,27.08333397
Kumasi,Annual Mean Temperature,2018,26.34166718
Toluca,Annual Mean Temperature,2018,13.375
Delhi,Annual Mean Temperature,2018,25.04583359
Barcelona,Annual Mean Temperature,2018,16.27499962
Amsterdam,Annual Mean Temperature,2018,10.04166698
Istanbul,Annual Mean Temperature,2018,14.04166698
Abuja,Annual Mean Temperature,2018,25.93333435
Monterrey,Annual Mean Temperature,2018,22.63750076
Boston,Annual Mean Temperature,2018,10.26666641
Dodoma,Annual Mean Temperature,2018,22.49166679
The Hague,Annual Mean Temperature,2018,9.925000191
Dublin,Annual Mean Temperature,2018,10.20416641
Jinan,Annual Mean Temperature,2018,13.92083359
Mombasa,Annual Mean Temperature,2018,26.07083321
Lisbon,Annual Mean Temperature,2018,16.89999962
Lucknow,Annual Mean Temperature,2018,25.69166756
Addis Ababa,Annual Mean Temperature,2018,15.90833378
Richmond,Annual Mean Temperature,2018,14.25
Banjul,Annual Mean Temperature,2018,26.22083282
Changsha,Annual Mean Temperature,2018,17.63750076
Jeddah,Annual Mean Temperature,2018,28.32083321
La Paz,Annual Mean Temperature,2018,9.883333206
Harbin,Annual Mean Temperature,2018,4.504166603
Rawalpindi,Annual Mean Temperature,2018,21.80416679
Yamoussoukro,Annual Mean Temperature,2018,26.78333282
Charlotte,Annual Mean Temperature,2018,15.5666666
Guiyang,Annual Mean Temperature,2018,15.84166622
Windhoek,Annual Mean Temperature,2018,19.52499962
Glasgow,Annual Mean Temperature,2018,8.758333206
Wuhan,Annual Mean Temperature,2018,16.96666718
Tripoli,Annual Mean Temperature,2018,19.92916679
Batumi,Annual Mean Temperature,2018,14.52083302
Ciudad Juarez,Annual Mean Temperature,2018,17.29583359
Jakarta,Annual Mean Temperature,2018,27.62916565
Bridgeport,Annual Mean Temperature,2018,10.97083378
Porto,Annual Mean Temperature,2018,14.7541666
Atlanta,Annual Mean Temperature,2018,16.32500076
Ouagadougou,Annual Mean Temperature,2018,28.67916679
Teresina,Annual Mean Temperature,2018,27.88333321
Rabat,Annual Mean Temperature,2018,17.49583244
Lilongwe,Annual Mean Temperature,2018,20.63333321
Bangkok,Annual Mean Temperature,2018,28.40416718
Palembang,Annual Mean Temperature,2018,27.27083397
Rosario,Annual Mean Temperature,2018,17.42499924
Cali,Annual Mean Temperature,2018,23.91250038
Kolkata,Annual Mean Temperature,2018,26.65833282
Monaco,Annual Mean Temperature,2018,13.72916698
Conakry,Annual Mean Temperature,2018,27.39166641
Medina,Annual Mean Temperature,2018,27.81666565
Hangzhou,Annual Mean Temperature,2018,16.78750038
Alexandria,Annual Mean Temperature,2018,19.91666603
Malabo,Annual Mean Temperature,2018,25.29583359
Goiania,Annual Mean Temperature,2018,23.18333435
Harare,Annual Mean Temperature,2018,18.07083321
Cordoba,Annual Mean Temperature,2018,17.20833397
Santa Cruz,Annual Mean Temperature,2018,24.10416603
Hanoi,Annual Mean Temperature,2018,23.66666603
Islamabad,Annual Mean Temperature,2018,21.35833359
Natal,Annual Mean Temperature,2018,26.04999924
Paramaribo,Annual Mean Temperature,2018,27.15416718
Sapporo,Annual Mean Temperature,2018,8.545833588
Zibo,Annual Mean Temperature,2018,13.44583321
Kuala Lumpur,Annual Mean Temperature,2018,26.72500038
Mexicali,Annual Mean Temperature,2018,23.1875
Chengdu,Annual Mean Temperature,2018,16.71249962
Haifa,Annual Mean Temperature,2018,19.5625
Nouakchott,Annual Mean Temperature,2018,25.41666603
Auckland,Annual Mean Temperature,2018,15.29166698
Nicosia,Annual Mean Temperature,2018,19.70000076
Santiago,Annual Mean Temperature,2018,15.39999962
Khartoum,Annual Mean Temperature,2018,29.57083321
Faisalabad,Annual Mean Temperature,2018,24.20416641
Rajshahi,Annual Mean Temperature,2018,25.79999924
Seoul,Annual Mean Temperature,2018,12.21249962
Bogor,Annual Mean Temperature,2018,26.375
Panama City,Annual Mean Temperature,2018,27.10416603
Chennai,Annual Mean Temperature,2018,29.12083435
Bucaramanga,Annual Mean Temperature,2018,22.89166641
Guayaquil,Annual Mean Temperature,2018,25.39166641
Mogadishu,Annual Mean Temperature,2018,26.90833282
Dubai,Annual Mean Temperature,2018,27.45833397
Kelang,Annual Mean Temperature,2018,26.83333397
Salvador,Annual Mean Temperature,2018,25.25
Douala,Annual Mean Temperature,2018,26.52083397
Arequipa,Annual Mean Temperature,2018,15.39999962
Valencia,Annual Mean Temperature,2018,24.10416603
Bissau,Annual Mean Temperature,2018,27.02499962
Sao Tome,Annual Mean Temperature,2018,25.20000076
Brasilia,Annual Mean Temperature,2018,20.69166565
Shanghai,Annual Mean Temperature,2018,16.5
Vientiane,Annual Mean Temperature,2018,26.35000038
Buenos Aires,Annual Mean Temperature,2018,17.29583359
Port-au-Prince,Annual Mean Temperature,2018,26.58749962
Montevideo,Annual Mean Temperature,2018,16.23333359
Shijianzhuang,Annual Mean Temperature,2018,13.63749981
Providence,Annual Mean Temperature,2018,10.72916698
Mbuji-Mayi,Annual Mean Temperature,2018,25.29166603
Georgetown,Annual Mean Temperature,2018,27.00416756
Orlando,Annual Mean Temperature,2018,22.23333359
Khulna,Annual Mean Temperature,2018,26.24583435
Cape Town,Annual Mean Temperature,2018,17.38750076
Haiphong,Annual Mean Temperature,2018,23.70833206
Reykjavik,Annual Mean Temperature,2018,4.641666889
Mendoza,Annual Mean Temperature,2018,16.54166603
Changchun,Annual Mean Temperature,2018,5.362500191
Porto Alegre,Annual Mean Temperature,2018,19.97083282
Joao Pessoa,Annual Mean Temperature,2018,25.86666679
Port Harcourt,Annual Mean Temperature,2018,26.77083397
Monrovia,Annual Mean Temperature,2018,26.13750076
Fuzhou,Annual Mean Temperature,2018,19.98749924
Dhaka,Annual Mean Temperature,2018,25.83749962
Davao,Annual Mean Temperature,2018,27.35833359
Nanjing,Annual Mean Temperature,2018,16.02499962
Taizz,Annual Mean Temperature,2018,24.15416718
Hiroshima,Annual Mean Temperature,2018,15.67916679
Jacksonville,Annual Mean Temperature,2018,20.90416718
Phoenix,Annual Mean Temperature,2018,22.3125
Pyongyang,Annual Mean Temperature,2018,10.54583359
Libreville,Annual Mean Temperature,2018,26.24166679
Phnom Penh,Annual Mean Temperature,2018,28.29583359
Qingdao,Annual Mean Temperature,2018,12.96666622
Ponta Delgada,Annual Mean Temperature,2018,17.50416756
Hamilton,Annual Mean Temperature,2018,22.25
Yaounde,Annual Mean Temperature,2018,24.08333397
Bandar Lampung,Annual Mean Temperature,2018,26.86249924
Hargeysa,Annual Mean Temperature,2018,21.37916756
Zhengzhou,Annual Mean Temperature,2018,14.83333302
Johor Bahru,Annual Mean Temperature,2018,26.90416718
Medan,Annual Mean Temperature,2018,26.98749924
Kuwait,Annual Mean Temperature,2018,25.75416756
Multan,Annual Mean Temperature,2018,25.52916718
Peshawar,Annual Mean Temperature,2018,22.91250038
Incheon,Annual Mean Temperature,2018,12.23333359
Cartagena,Annual Mean Temperature,2018,27.80416679
Fukuoka,Annual Mean Temperature,2018,16.46666718
Saint George's,Annual Mean Temperature,2018,26.83749962
Shenyeng,Annual Mean Temperature,2018,8.620833397
Vitoria,Annual Mean Temperature,2018,23.75416756
Goyang,Annual Mean Temperature,2018,11.36250019
New Orleans,Annual Mean Temperature,2018,20.85000038
Benin City,Annual Mean Temperature,2018,26.55833244
Colombo,Annual Mean Temperature,2018,27.64583397
Houston,Annual Mean Temperature,2018,20.81666565
Stanley,Annual Mean Temperature,2018,5.966666698
Ibadan,Annual Mean Temperature,2018,27.02083397
Makkah,Annual Mean Temperature,2018,30.34166718
Port Moresby,Annual Mean Temperature,2018,26.98749924
Recife,Annual Mean Temperature,2018,25.47083282
Porto-Novo,Annual Mean Temperature,2018,27.42083359
Singapore,Annual Mean Temperature,2018,26.99583244
Tianjin,Annual Mean Temperature,2018,12.75
Putrajaya,Annual Mean Temperature,2018,27.01666641
Beijing,Annual Mean Temperature,2018,12.41666698
Nagoya,Annual Mean Temperature,2018,15.79166698
Tokyo,Annual Mean Temperature,2018,15.8083334
Sri Jawewardenepura Kotte,Annual Mean Temperature,2018,27.40833282
Pekanbaru,Annual Mean Temperature,2018,26.96249962
Funchal,Annual Mean Temperature,2018,18.42499924
Algiers,Annual Mean Temperature,2018,17.79583359
Sao Luis,Annual Mean Temperature,2018,26.95833397
Sucre,Annual Mean Temperature,2018,15.92500019
Bandung,Annual Mean Temperature,2018,23.72083282
Zamboanga,Annual Mean Temperature,2018,27.34583282
Malang,Annual Mean Temperature,2018,24.18333435
Accra,Annual Mean Temperature,2018,27.44166756
Dili,Annual Mean Temperature,2018,26.61666679
Hims,Annual Mean Temperature,2018,17.55416679
Kyoto,Annual Mean Temperature,2018,15.4375
Virginia Beach,Annual Mean Temperature,2018,15.4375
Suva,Annual Mean Temperature,2018,24.85833359
Gaza,Annual Mean Temperature,2018,19.97500038
Kinshasa,Annual Mean Temperature,2018,25.95833397
Sendai,Annual Mean Temperature,2018,12.67500019
Padang,Annual Mean Temperature,2018,26.51250076
Laayoune,Annual Mean Temperature,2018,20.83333397
Havana,Annual Mean Temperature,2018,25.77083397
Kananga,Annual Mean Temperature,2018,24.96249962
Port Louis,Annual Mean Temperature,2018,24.15833282
Cotonou,Annual Mean Temperature,2018,27.17499924
Muscat,Annual Mean Temperature,2018,27.26250076
Macau,Annual Mean Temperature,2018,22.69583321
Joinville,Annual Mean Temperature,2018,20.91666603
Caracas,Annual Mean Temperature,2018,21.53750038
Pago Pago,Annual Mean Temperature,2018,26.47083282
George Town,Annual Mean Temperature,2018,26.92083359
Lome,Annual Mean Temperature,2018,27.50416565
Suwon,Annual Mean Temperature,2018,11.8125
Willemstad,Annual Mean Temperature,2018,27.34583282
Johannesburg,Annual Mean Temperature,2018,15.53750038
Dalian,Annual Mean Temperature,2018,11.58333302
Nampo,Annual Mean Temperature,2018,10.42083359
Barranquilla,Annual Mean Temperature,2018,28.16250038
Casablanca,Annual Mean Temperature,2018,17.81666756
Gwangju,Annual Mean Temperature,2018,13.73333359
Guangzhou,Annual Mean Temperature,2018,22.03750038
Jinxi,Annual Mean Temperature,2018,9.350000381
Lagos,Annual Mean Temperature,2018,27.12916756
Noumea,Annual Mean Temperature,2018,23.14583397
Dongguan,Annual Mean Temperature,2018,22.25416565
Maputo,Annual Mean Temperature,2018,22.85000038
Kampala,Annual Mean Temperature,2018,22.23333359
Antananarivo,Annual Mean Temperature,2018,19.15833282
Port Vila,Annual Mean Temperature,2018,24.69166565
Valparaiso,Annual Mean Temperature,2018,15.13749981
Agana,Annual Mean Temperature,2018,27.65833282
Nanning,Annual Mean Temperature,2018,22.21249962
Cebu,Annual Mean Temperature,2018,27.83333397
Daejeon,Annual Mean Temperature,2018,12.69583321
Praia,Annual Mean Temperature,2018,24.92083359
Kunming,Annual Mean Temperature,2018,15.03750038
Nukualofa,Annual Mean Temperature,2018,23.94583321
Surabaya,Annual Mean Temperature,2018,28.06666756
Grand Turk,Annual Mean Temperature,2018,26.56666565
Almaty,Annual Mean Temperature,2018,9.774999619
Taipei,Annual Mean Temperature,2018,22.04583359
Bandar Seri Begawan,Annual Mean Temperature,2018,27.35833359
Roseau,Annual Mean Temperature,2018,26.97083282
Dar es Salaam,Annual Mean Temperature,2018,26.28750038
Basseterre,Annual Mean Temperature,2018,26.67083359
Merida,Annual Mean Temperature,2018,26.67499924
Huambo,Annual Mean Temperature,2018,20.00416565
Osaka,Annual Mean Temperature,2018,16.25833321
Melekeok,Annual Mean Temperature,2018,27.50833321
Oranjestad,Annual Mean Temperature,2018,27.88750076
Palikir,Annual Mean Temperature,2018,27.07500076
Basra,Annual Mean Temperature,2018,24.82083321
Daegu,Annual Mean Temperature,2018,13.7458334
Chittagong,Annual Mean Temperature,2018,25.94166756
Papeete,Annual Mean Temperature,2018,25.33749962
Shenzhen,Annual Mean Temperature,2018,22.85416603
Kingston,Annual Mean Temperature,2018,27.03333282
Saint John's,Annual Mean Temperature,2018,26.71249962
Maceio,Annual Mean Temperature,2018,24.74583435
Tampa,Annual Mean Temperature,2018,22.74583244
Xiamen,Annual Mean Temperature,2018,21.12916565
Fortaleza,Annual Mean Temperature,2018,26.58749962
Honiara,Annual Mean Temperature,2018,26.60416603
Ad Damman,Annual Mean Temperature,2018,26.86666679
Brisbane,Annual Mean Temperature,2018,20.41666603
San Francisco,Annual Mean Temperature,2018,13.91666698
Tainan,Annual Mean Temperature,2018,23.99583435
Busan,Annual Mean Temperature,2018,14.10000038
Bloemfontein,Annual Mean Temperature,2018,16.10833359
Maseru,Annual Mean Temperature,2018,15.3083334
Kaohsiung,Annual Mean Temperature,2018,23.85833359
Miami,Annual Mean Temperature,2018,24.68333435
Belo Horizonte,Annual Mean Temperature,2018,21.125
Belmopan,Annual Mean Temperature,2018,25.84166718
Sydney,Annual Mean Temperature,2018,17.99583435
Ulsan,Annual Mean Temperature,2018,14.02499962
Taichung,Annual Mean Temperature,2018,22.79999924
Pretoria,Annual Mean Temperature,2018,18.46666718
Los Angeles,Annual Mean Temperature,2018,19.00416565
Curitiba,Annual Mean Temperature,2018,17.31666756
Tijuana,Annual Mean Temperature,2018,17.20416641
Rio de Janeiro,Annual Mean Temperature,2018,23.57500076
Hong Kong,Annual Mean Temperature,2018,23.00833321
Campinas,Annual Mean Temperature,2018,20.29583359
Freetown,Annual Mean Temperature,2018,26.70833397
Florianopolis,Annual Mean Temperature,2018,20.05416679
Benoni,Annual Mean Temperature,2018,15.76666641
Luanda,Annual Mean Temperature,2018,25.19583321
Sao Paulo,Annual Mean Temperature,2018,19.02499962
Mbabane,Annual Mean Temperature,2018,17.10416603
Asmara,Annual Mean Temperature,2018,17.32083321
Kathmandu,Annual Mean Temperature,2018,18.42499924
Gaborone,Annual Mean Temperature,2018,21.26666641
Dakar,Annual Mean Temperature,2018,24.42083359
Durban,Annual Mean Temperature,2018,20.62916756
Vereeniging,Annual Mean Temperature,2018,16.51666641
Oran,Annual Mean Temperature,2018,17.96666718
Port Elizabeth,Annual Mean Temperature,2018,17.89583397
San Diego,Annual Mean Temperature,2018,17.80833244
Santos,Annual Mean Temperature,2018,22.72916603
Ljubljana,Annual Mean Temperature,2050,13.3
Belgrade,Annual Mean Temperature,2050,15.36666667
Novi Sad,Annual Mean Temperature,2050,14.33333333
Budapest,Annual Mean Temperature,2050,14.26666667
Turin,Annual Mean Temperature,2050,15.36666667
Yerevan,Annual Mean Temperature,2050,14.43333333
Vienna,Annual Mean Temperature,2050,12.86666667
Bratislava,Annual Mean Temperature,2050,12.96666667
Banja Luka,Annual Mean Temperature,2050,13.96666667
Fez,Annual Mean Temperature,2050,20.8
Zagreb,Annual Mean Temperature,2050,13.86666667
Milan,Annual Mean Temperature,2050,15.86666667
Tbilisi,Annual Mean Temperature,2050,15.73333333
Rostov,Annual Mean Temperature,2050,12.66666667
Konya,Annual Mean Temperature,2050,13.93333333
Podgorica,Annual Mean Temperature,2050,18.03333333
Marrakesh,Annual Mean Temperature,2050,22.2
Skopje,Annual Mean Temperature,2050,14.96666667
Dnipro,Annual Mean Temperature,2050,12.03333333
Bucharest,Annual Mean Temperature,2050,13.63333333
Sarajevo,Annual Mean Temperature,2050,13.06666667
Lyon,Annual Mean Temperature,2050,13.86666667
Kiev,Annual Mean Temperature,2050,10.93333333
Prague,Annual Mean Temperature,2050,11.83333333
Warsaw,Annual Mean Temperature,2050,10.73333333
Qom,Annual Mean Temperature,2050,20.96666667
Pristina,Annual Mean Temperature,2050,12.8
Karaj,Annual Mean Temperature,2050,17
Ankara,Annual Mean Temperature,2050,14.1
Madrid,Annual Mean Temperature,2050,16.76666667
Portland,Annual Mean Temperature,2050,14
Mosul,Annual Mean Temperature,2050,22.7
Jerusalem,Annual Mean Temperature,2050,19.6
Manchester,Annual Mean Temperature,2050,12.4
Tehran,Annual Mean Temperature,2050,19.13333333
Sofia,Annual Mean Temperature,2050,12.9
Berlin,Annual Mean Temperature,2050,11.63333333
Paris,Annual Mean Temperature,2050,13.63333333
Seattle,Annual Mean Temperature,2050,13.6
Gaziantep,Annual Mean Temperature,2050,17.86666667
St. Petersburg,Annual Mean Temperature,2050,8.233333333
Tashkent,Annual Mean Temperature,2050,17.53333333
Irbil,Annual Mean Temperature,2050,23.1
Stockholm,Annual Mean Temperature,2050,9.7
London,Annual Mean Temperature,2050,13.2
Toronto,Annual Mean Temperature,2050,11.43333333
Vilnius,Annual Mean Temperature,2050,9.466666667
Kharkiv,Annual Mean Temperature,2050,10.23333333
Andorra,Annual Mean Temperature,2050,11.83333333
Luxembourg,Annual Mean Temperature,2050,11.63333333
Rangoon,Annual Mean Temperature,2050,29.2
Isfahan,Annual Mean Temperature,2050,18.5
Cologne,Annual Mean Temperature,2050,12.56666667
Montreal,Annual Mean Temperature,2050,10.1
San Marino,Annual Mean Temperature,2050,15.73333333
Minsk,Annual Mean Temperature,2050,9.166666667
Athens,Annual Mean Temperature,2050,20.36666667
Minneapolis,Annual Mean Temperature,2050,11.06666667
Ottawa,Annual Mean Temperature,2050,9.533333333
Vaduz,Annual Mean Temperature,2050,12.13333333
Columbus,Annual Mean Temperature,2050,14.1
Zurich,Annual Mean Temperature,2050,11.9
Bursa,Annual Mean Temperature,2050,16.56666667
Oslo,Annual Mean Temperature,2050,8.866666667
Chisinau,Annual Mean Temperature,2050,12.66666667
Indianapolis,Annual Mean Temperature,2050,14.36666667
Sacramento,Annual Mean Temperature,2050,18.16666667
Pittsburgh,Annual Mean Temperature,2050,14
Amman,Annual Mean Temperature,2050,19.43333333
